ID,averageAge,sex,averageTime,averageRank,weightedAppearance,yearsOfParticipation,yearsSinceLastParticipation
197,45.0,1,19320.0,2513.0,4,1,1
198,50.0,1,12584.0,1759.0,12,3,1
199,35.0,1,16314.0,1624.0,4,1,1
200,45.0,0,21015.0,2795.0,4,1,1
201,48.0,0,11468.0,2471.0,8,2,1
202,41.0,1,13007.0,337.0,8,2,1
203,35.0,0,14063.0,773.0,4,1,1
204,30.0,0,14785.0,1063.0,4,1,1
205,32.0,1,15498.0,1304.0,12,3,1
206,40.0,1,13227.0,464.0,4,1,1
207,35.0,1,19542.0,2567.0,4,1,1
208,30.0,0,12582.0,285.0,4,1,1
209,45.0,1,13368.0,514.0,4,1,1
210,30.0,1,13692.0,632.0,4,1,1
211,65.0,1,20580.0,2737.0,4,1,1
212,45.0,1,10913.0,39.0,8,2,1
213,35.0,0,20744.0,2756.0,4,1,1
214,57.0,0,15657.0,1284.0,17,5,1
215,45.0,1,14538.0,989.0,4,1,1
216,40.0,1,12828.0,353.0,4,1,1
217,30.0,0,16010.0,1499.0,4,1,1
218,40.0,1,13366.0,513.0,4,1,1
219,25.0,1,16425.0,1659.0,4,1,1
220,25.0,1,16884.0,1831.0,4,1,1
221,56.0,0,25017.0,2894.0,7,2,1
222,40.0,0,11595.0,101.0,4,1,1
223,30.0,0,13668.0,624.0,4,1,1
224,30.0,1,11759.0,120.0,4,1,1
225,30.0,1,14309.0,881.0,4,1,1
226,45.0,1,13122.0,405.0,8,2,1
227,50.0,0,17587.0,2087.0,4,1,1
228,40.0,1,14912.0,1118.0,4,1,1
229,35.0,0,16049.0,1519.0,4,1,1
230,30.0,1,16097.0,1540.0,4,1,1
231,45.0,1,10788.0,29.0,4,1,1
232,30.0,1,15606.0,1361.0,4,1,1
233,40.0,1,11032.0,52.0,4,1,1
234,30.0,1,13459.0,424.0,6,2,1
235,20.0,1,17212.0,1946.0,4,1,1
236,50.0,0,19105.0,2464.0,4,1,1
237,45.0,1,14091.0,788.0,4,1,1
238,35.0,1,17047.0,1891.0,4,1,1
239,30.0,1,13432.0,530.0,4,1,1
240,19.0,0,9566.0,479.0,8,2,1
241,45.0,0,14492.0,971.0,4,1,1
242,30.0,0,11907.0,145.0,4,1,1
243,30.0,0,19028.0,2441.0,4,1,1
244,40.0,0,14686.0,1034.0,4,1,1
245,35.0,1,16092.0,1537.0,4,1,1
246,35.0,1,14167.0,822.0,4,1,1
247,50.0,0,20711.0,2753.0,4,1,1
248,35.0,1,11154.0,81.0,15,5,1
249,35.0,1,12671.0,318.0,4,1,1
250,40.0,0,21234.0,2818.0,4,1,1
251,45.0,0,16624.0,1730.0,4,1,1
252,44.0,0,16455.0,1792.0,21,6,1
253,40.0,0,14258.0,811.0,8,2,1
254,25.0,1,17655.0,2101.0,4,1,1
255,40.0,0,25788.0,3040.0,4,1,1
256,30.0,0,17726.0,2117.0,4,1,1
257,35.0,1,11374.0,81.0,4,1,1
258,45.0,0,18161.0,2245.0,4,1,1
259,30.0,1,18876.0,2400.0,4,1,1
260,35.0,1,14056.0,769.0,4,1,1
261,45.0,1,12199.0,196.0,4,1,1
262,35.0,0,16955.0,1851.0,4,1,1
263,35.0,1,17540.0,2071.0,4,1,1
264,45.0,1,15515.0,1287.0,8,2,1
265,40.0,0,15406.0,1291.0,4,1,1
266,45.0,0,17470.0,2036.0,4,1,1
267,30.0,0,25776.0,3039.0,4,1,1
268,40.0,0,14547.0,990.0,4,1,1
269,30.0,0,12861.0,363.0,4,1,1
270,35.0,1,17729.0,2120.0,4,1,1
271,48.0,1,12554.0,248.0,21,6,1
272,35.0,1,14046.0,765.0,4,1,1
273,45.0,1,12675.0,319.0,4,1,1
274,55.0,1,17368.0,2006.0,4,1,1
275,35.0,1,13671.0,625.0,4,1,1
276,45.0,0,18196.0,2255.0,4,1,1
277,40.0,1,15265.0,1251.0,4,1,1
278,44.0,1,14199.0,749.0,5,2,1
279,60.0,1,20535.0,2730.0,4,1,1
280,30.0,1,15808.0,1396.0,8,2,1
281,35.0,1,13745.0,651.0,4,1,1
282,35.0,0,19029.0,2443.0,4,1,1
283,20.0,1,13172.0,450.0,4,1,1
284,25.0,0,20310.0,2702.0,4,1,1
285,30.0,0,16221.0,1593.0,4,1,1
286,35.0,0,16725.0,1768.0,4,1,1
287,17.0,1,20239.0,2471.0,8,2,1
288,40.0,1,17248.0,1961.0,4,1,1
289,35.0,1,16140.0,1182.0,5,2,1
290,50.0,0,19903.0,2648.0,4,1,1
291,52.0,1,19284.0,2405.0,8,2,1
292,37.0,1,16552.0,1702.0,13,4,1
293,35.0,0,15678.0,1377.0,4,1,1
294,35.0,1,16081.0,1530.0,4,1,1
295,35.0,1,14335.0,864.0,8,2,1
296,35.0,1,13341.0,503.0,4,1,1
297,40.0,1,17252.0,1964.0,4,1,1
298,30.0,0,17376.0,2009.0,4,1,1
299,45.0,0,14074.0,777.0,4,1,1
300,40.0,0,17219.0,1951.0,4,1,1
301,45.0,1,18910.0,2412.0,4,1,1
302,35.0,0,18201.0,2257.0,4,1,1
303,45.0,1,14896.0,1110.0,4,1,1
304,47.0,1,19466.0,2633.0,12,3,1
305,40.0,1,15427.0,1301.0,4,1,1
306,18.0,1,18474.0,2506.0,7,2,1
307,35.0,1,13839.0,679.0,4,1,1
308,22.0,0,15556.0,1280.0,8,2,1
309,25.0,1,17328.0,1991.0,4,1,1
310,30.0,0,20270.0,2695.0,4,1,1
311,35.0,0,17981.0,2200.0,4,1,1
312,50.0,1,12285.0,212.0,4,1,1
313,50.0,1,11895.0,142.0,4,1,1
314,37.0,0,14641.0,2072.0,14,4,1
315,50.0,1,12961.0,358.0,8,2,1
316,40.0,1,14038.0,761.0,4,1,1
317,50.0,1,14569.0,998.0,4,1,1
318,35.0,0,20171.0,2684.0,4,1,1
319,20.0,0,20976.0,2790.0,4,1,1
320,26.0,0,20224.0,2110.0,12,4,1
321,40.0,1,16203.0,1590.0,4,1,1
322,29.0,1,15134.0,1265.0,18,5,1
323,40.0,1,13403.0,481.0,12,3,1
324,37.0,1,12794.0,312.0,13,4,1
325,30.0,0,17409.0,2023.0,4,1,1
326,54.0,1,20015.0,2829.0,21,6,1
327,40.0,0,17503.0,2052.0,4,1,1
328,19.0,1,24703.0,3277.0,7,2,1
329,45.0,1,19055.0,2451.0,4,1,1
330,40.0,0,15619.0,1366.0,4,1,1
331,55.0,1,14625.0,1016.0,4,1,1
332,30.0,0,15557.0,1346.0,4,1,1
333,25.0,0,14084.0,783.0,4,1,1
334,40.0,0,13494.0,555.0,4,1,1
335,45.0,0,18901.0,2409.0,4,1,1
336,55.0,1,13786.0,666.0,4,1,1
337,40.0,1,16010.0,1496.0,4,1,1
338,30.0,1,10585.0,16.0,4,1,1
339,20.0,1,16346.0,1631.0,4,1,1
340,30.0,1,13098.0,419.0,4,1,1
341,33.0,1,17228.0,1675.0,9,3,1
342,45.0,1,14535.0,988.0,4,1,1
343,35.0,1,14312.0,884.0,4,1,1
344,45.0,1,21143.0,2809.0,4,1,1
345,25.0,0,23238.0,2958.0,4,1,1
346,22.0,0,18614.0,2234.0,12,3,1
347,43.0,1,15328.0,1752.0,27,8,1
348,50.0,1,15227.0,1233.0,4,1,1
349,40.0,1,19585.0,2574.0,4,1,1
350,35.0,1,16553.0,1705.0,4,1,1
351,40.0,0,11932.0,144.0,15,4,1
352,50.0,1,12069.0,167.0,16,5,1
353,40.0,1,11039.0,1933.0,8,2,1
354,35.0,1,13551.0,586.0,8,2,1
355,40.0,1,13258.0,473.0,4,1,1
356,38.0,1,19547.0,2876.0,11,3,1
357,35.0,1,16350.0,1635.0,4,1,1
358,30.0,0,19517.0,2557.0,4,1,1
359,30.0,0,17695.0,2109.0,4,1,1
360,45.0,0,13242.0,468.0,4,1,1
361,40.0,1,14260.0,862.0,4,1,1
362,50.0,1,18655.0,2361.0,4,1,1
363,30.0,1,13634.0,609.0,4,1,1
364,54.0,1,10940.0,1743.0,8,2,1
365,30.0,1,15897.0,1449.0,4,1,1
366,45.0,1,11450.0,91.0,4,1,1
367,29.0,1,21555.0,3062.0,14,4,1
368,15.0,0,16965.0,1857.0,4,1,1
369,45.0,1,15062.0,1174.0,4,1,1
370,35.0,0,13721.0,641.0,4,1,1
371,35.0,1,11943.0,147.0,4,1,1
372,30.0,1,17965.0,2194.0,4,1,1
373,40.0,0,13965.0,721.0,4,1,1
374,48.0,1,14249.0,836.0,7,2,1
375,37.0,0,16807.0,1756.0,8,2,1
376,40.0,0,17346.0,1995.0,4,1,1
377,30.0,0,19005.0,2433.0,4,1,1
378,54.0,0,17440.0,1873.0,18,6,1
379,30.0,1,12166.0,193.0,4,1,1
380,49.0,0,16504.0,1801.0,11,3,1
381,50.0,0,19998.0,2664.0,4,1,1
382,40.0,1,11447.0,90.0,4,1,1
383,27.0,1,14538.0,925.0,8,2,1
384,22.0,0,18993.0,2454.0,12,3,1
385,25.0,1,15231.0,1236.0,4,1,1
386,40.0,1,13217.0,461.0,4,1,1
387,37.0,1,16763.0,1760.0,12,3,1
388,35.0,1,13555.0,581.0,4,1,1
389,25.0,1,17691.0,2108.0,4,1,1
390,30.0,1,15301.0,1264.0,4,1,1
391,30.0,1,10716.0,22.0,4,1,1
392,45.0,0,16979.0,1866.0,4,1,1
393,30.0,1,12084.0,176.0,4,1,1
394,50.0,0,12537.0,268.0,4,1,1
395,35.0,1,16027.0,1439.0,8,2,1
396,25.0,0,17978.0,2196.0,4,1,1
397,49.0,1,14812.0,1037.0,11,3,1
398,20.0,1,12530.0,265.0,4,1,1
399,40.0,0,17547.0,2074.0,4,1,1
400,30.0,0,15786.0,1411.0,4,1,1
401,50.0,1,17920.0,2181.0,4,1,1
402,45.0,1,15933.0,1459.0,4,1,1
403,35.0,1,13757.0,653.0,4,1,1
404,30.0,0,13614.0,597.0,4,1,1
405,50.0,1,12769.0,338.0,4,1,1
406,30.0,0,18891.0,2406.0,4,1,1
407,25.0,0,15730.0,1395.0,4,1,1
408,25.0,0,11634.0,2440.0,8,2,1
409,25.0,1,10886.0,36.0,4,1,1
410,31.0,1,12635.0,305.0,18,6,1
411,40.0,0,10530.0,15.0,4,1,1
412,65.0,1,20014.0,2854.0,18,5,1
413,35.0,1,14872.0,1099.0,4,1,1
414,40.0,1,19584.0,2573.0,4,1,1
415,50.0,1,15815.0,1425.0,4,1,1
416,20.0,0,17224.0,1952.0,4,1,1
417,35.0,1,14616.0,1013.0,4,1,1
418,40.0,1,20850.0,2771.0,4,1,1
419,50.0,1,15136.0,1142.0,32,12,1
420,35.0,1,17921.0,2182.0,4,1,1
421,48.0,1,12160.0,178.0,18,5,1
422,30.0,0,15475.0,1317.0,4,1,1
423,35.0,1,13459.0,522.0,8,2,1
424,25.0,1,18344.0,2292.0,4,1,1
425,45.0,1,12581.0,283.0,4,1,1
426,37.0,1,13686.0,599.0,8,2,1
427,35.0,0,19406.0,2535.0,4,1,1
428,33.0,1,13937.0,2210.0,12,3,1
429,60.0,1,13611.0,596.0,4,1,1
430,20.0,0,19025.0,2440.0,4,1,1
431,51.0,1,12898.0,296.0,6,2,1
432,35.0,1,17954.0,2192.0,4,1,1
433,30.0,1,17083.0,1902.0,4,1,1
434,40.0,1,18466.0,2321.0,4,1,1
435,35.0,0,21214.0,2814.0,4,1,1
436,47.0,1,20803.0,2652.0,27,9,1
437,50.0,1,19043.0,2448.0,4,1,1
438,46.0,0,18030.0,2255.0,8,2,1
439,45.0,1,15712.0,1387.0,4,1,1
440,45.0,0,19657.0,2590.0,4,1,1
441,40.0,1,16437.0,1666.0,4,1,1
442,15.0,1,17884.0,2169.0,4,1,1
443,25.0,1,20129.0,2678.0,4,1,1
444,30.0,0,12867.0,364.0,4,1,1
445,40.0,1,20124.0,2677.0,4,1,1
446,35.0,1,16873.0,1823.0,4,1,1
447,30.0,1,17446.0,2033.0,4,1,1
448,31.0,1,12557.0,225.0,8,2,1
449,35.0,1,18322.0,2286.0,4,1,1
450,25.0,1,14076.0,778.0,4,1,1
451,50.0,0,18154.0,2243.0,4,1,1
452,45.0,1,19782.0,2618.0,4,1,1
453,35.0,1,19625.0,2581.0,4,1,1
454,20.0,1,12818.0,351.0,4,1,1
455,40.0,0,13275.0,476.0,4,1,1
456,30.0,1,13164.0,449.0,4,1,1
457,40.0,1,14344.0,907.0,4,1,1
458,40.0,0,19049.0,2449.0,4,1,1
459,25.0,1,12437.0,246.0,4,1,1
460,35.0,1,17990.0,2203.0,4,1,1
461,39.0,1,16420.0,1748.0,11,3,1
462,39.0,1,22520.0,2763.0,11,3,1
463,35.0,1,23192.0,2954.0,4,1,1
464,40.0,1,14926.0,1123.0,4,1,1
465,25.0,1,14049.0,767.0,4,1,1
466,30.0,0,14943.0,1133.0,4,1,1
467,45.0,1,14281.0,873.0,4,1,1
468,50.0,1,15603.0,1360.0,4,1,1
469,54.0,1,15507.0,1222.0,25,9,1
470,36.0,1,16936.0,2476.0,23,7,1
471,50.0,1,12234.0,202.0,4,1,1
472,40.0,1,14184.0,828.0,4,1,1
473,55.0,0,19296.0,2391.0,8,2,1
474,35.0,0,21553.0,2840.0,4,1,1
475,35.0,0,13570.0,585.0,4,1,1
476,38.0,0,17696.0,2349.0,7,2,1
477,50.0,1,14133.0,804.0,4,1,1
478,35.0,1,14927.0,1124.0,4,1,1
479,43.0,1,15644.0,1356.0,21,6,1
480,44.0,1,15406.0,1276.0,8,2,1
481,33.0,1,15885.0,1510.0,11,3,1
482,30.0,1,17683.0,2029.0,15,4,1
483,45.0,0,17104.0,1831.0,12,3,1
484,45.0,1,13089.0,414.0,4,1,1
485,30.0,0,16820.0,1805.0,4,1,1
486,35.0,1,17480.0,2043.0,4,1,1
487,30.0,1,17750.0,2128.0,4,1,1
488,40.0,0,18946.0,2420.0,4,1,1
489,34.0,1,11669.0,1871.0,8,2,1
490,51.0,1,16152.0,1376.0,17,6,1
491,57.0,1,15849.0,1377.0,12,3,1
492,50.0,1,14897.0,1111.0,4,1,1
493,20.0,1,12938.0,416.0,8,2,1
494,30.0,1,15175.0,1143.0,8,2,1
495,40.0,1,11317.0,65.0,12,5,1
496,40.0,1,18735.0,2374.0,4,1,1
497,41.0,1,14422.0,1870.0,18,5,1
498,30.0,1,16825.0,1808.0,4,1,1
499,49.0,1,14080.0,703.0,8,2,1
500,50.0,1,13645.0,614.0,4,1,1
501,30.0,0,17010.0,1831.0,8,2,1
502,25.0,0,16972.0,1862.0,4,1,1
503,30.0,1,13154.0,447.0,4,1,1
504,52.0,0,16799.0,1759.0,20,7,1
505,50.0,1,15366.0,1278.0,4,1,1
506,35.0,0,16004.0,1494.0,4,1,1
507,40.0,1,16488.0,1689.0,4,1,1
508,50.0,1,13973.0,725.0,4,1,1
509,45.0,1,14114.0,799.0,4,1,1
510,45.0,1,15740.0,1396.0,4,1,1
511,40.0,1,21059.0,2799.0,4,1,1
512,30.0,1,13052.0,408.0,4,1,1
513,40.0,0,24652.0,3011.0,4,1,1
514,55.0,1,19473.0,2544.0,4,1,1
515,40.0,1,23878.0,2989.0,4,1,1
516,25.0,0,19593.0,2575.0,4,1,1
517,20.0,0,13985.0,732.0,4,1,1
518,35.0,1,16454.0,1675.0,4,1,1
519,20.0,0,16857.0,1818.0,4,1,1
520,40.0,1,19004.0,2432.0,4,1,1
521,40.0,1,14049.0,697.0,8,2,1
522,40.0,1,15838.0,1430.0,4,1,1
523,39.0,1,11354.0,102.0,7,2,1
524,37.0,1,12752.0,1165.0,16,4,1
525,45.0,1,16785.0,1793.0,4,1,1
526,33.0,1,15325.0,1147.0,7,2,1
527,50.0,1,23229.0,2956.0,4,1,1
528,49.0,1,11482.0,80.0,8,2,1
529,40.0,0,19013.0,2435.0,4,1,1
530,25.0,0,13134.0,439.0,4,1,1
531,35.0,0,16140.0,1563.0,4,1,1
532,50.0,1,18858.0,2398.0,4,1,1
533,60.0,1,15636.0,1369.0,4,1,1
534,35.0,1,16346.0,1630.0,4,1,1
535,40.0,0,14281.0,874.0,4,1,1
536,40.0,0,20300.0,2700.0,4,1,1
537,50.0,1,13855.0,686.0,4,1,1
538,43.0,1,19057.0,2451.0,23,7,1
539,35.0,1,13760.0,654.0,4,1,1
540,40.0,0,14033.0,760.0,4,1,1
541,40.0,0,19853.0,2636.0,4,1,1
542,55.0,1,13988.0,733.0,4,1,1
543,35.0,1,19977.0,2248.0,7,2,1
544,39.0,0,19843.0,2772.0,8,2,1
545,20.0,0,15241.0,1243.0,4,1,1
546,45.0,1,18417.0,2312.0,4,1,1
547,45.0,1,12715.0,324.0,4,1,1
548,51.0,1,14462.0,932.0,30,10,1
549,25.0,0,21477.0,2838.0,4,1,1
550,37.0,1,10701.0,28.0,8,2,1
551,35.0,1,15712.0,1386.0,4,1,1
552,40.0,1,14500.0,975.0,4,1,1
553,35.0,0,17784.0,2138.0,4,1,1
554,40.0,0,18547.0,2338.0,4,1,1
555,39.0,1,13618.0,1388.0,22,6,1
556,30.0,1,17633.0,2096.0,4,1,1
557,40.0,0,14378.0,928.0,4,1,1
558,50.0,1,16586.0,1715.0,4,1,1
559,42.0,1,15933.0,1468.0,18,5,1
560,30.0,0,18440.0,2316.0,4,1,1
561,55.0,1,19343.0,2374.0,8,2,1
562,35.0,1,11863.0,119.0,8,2,1
563,30.0,1,16221.0,1592.0,4,1,1
564,25.0,1,11411.0,87.0,4,1,1
565,40.0,1,23076.0,2951.0,4,1,1
566,47.0,1,13693.0,614.0,8,2,1
567,75.0,1,23642.0,2983.0,4,1,1
568,40.0,0,19056.0,2452.0,4,1,1
569,40.0,1,12696.0,322.0,4,1,1
570,60.0,0,19843.0,2635.0,4,1,1
571,35.0,1,20065.0,2672.0,4,1,1
572,55.0,1,15172.0,1218.0,4,1,1
573,45.0,1,14889.0,1107.0,4,1,1
574,40.0,1,17666.0,2017.0,8,2,1
575,30.0,0,17306.0,1980.0,4,1,1
576,30.0,1,15048.0,1169.0,4,1,1
577,40.0,1,17830.0,2150.0,4,1,1
578,50.0,0,17219.0,1950.0,4,1,1
579,35.0,0,15735.0,1377.0,12,3,1
580,55.0,1,19647.0,2589.0,4,1,1
581,39.0,1,12860.0,328.0,25,8,1
582,20.0,0,16094.0,1538.0,4,1,1
583,57.0,0,16675.0,1837.0,10,3,1
584,32.0,1,9527.0,1399.0,12,3,1
585,35.0,1,11581.0,100.0,4,1,1
586,35.0,1,16590.0,1718.0,4,1,1
587,30.0,0,24776.0,3019.0,4,1,1
